datetime,currency,impact,event,actual,forecast,previous
2011-01-31 00:30:00+00:00,AUD,2,Private Sector Credit,0.2,0.30,0.3
2011-01-31 07:00:00+00:00,EUR,2,German Retail Sales,-0.3,1.90,vised From -2.4
2011-01-31 10:00:00+00:00,EUR,3,CPI,2.4,2.30,2.2
2011-01-31 13:30:00+00:00,USD,2,Core PCE Price Index,0,0.10,0.1
2011-01-31 13:30:00+00:00,USD,2,Personal Spending,0.7,0.60,vised From 0.4
2011-01-31 13:30:00+00:00,CAD,3,GDP,0.4,0.30,0.2
2011-01-31 13:30:00+00:00,CAD,2,RMPI,4.2,3.20,3.5
2011-01-31 14:45:00+00:00,USD,2,Chicago PMI,68.8,65.00,"vised From 68.6>66.8                              """
2011-01-31 22:30:00+00:00,AUD,2,AIG Manufacturing Index,46.7,,46.3
2011-02-01 00:30:00+00:00,AUD,2,House Price Index,0.7,-0.20,vised From 0.10
2011-02-01 00:30:00+00:00,AUD,2,NAB Business Confidence,-3,,6
2011-02-01 03:30:00+00:00,AUD,3,RBA Interest Rate Decision,4.75,4.75,4.75
2011-02-01 03:30:00+00:00,AUD,3,RBA Rate Statement,,,
2011-02-01 07:00:00+00:00,GBP,2,Nationwide HPI,-0.1,-0.30,0.4
2011-02-01 08:15:00+00:00,CHF,2,Retail Sales,-0.4,2.60,vised From 2.5
2011-02-01 08:30:00+00:00,CHF,2,SVME PMI,60.5,59.20,"vised From 59.6>61.2                              """
2011-02-01 08:55:00+00:00,EUR,3,German Manufacturing PMI,60.5,60.20,60.2
2011-02-01 08:55:00+00:00,EUR,3,German Unemployment Change,-13,-10.00,"vised From 3K>1                                   """
2011-02-01 08:55:00+00:00,EUR,2,German Unemployment Rate,7.4,7.50,7.5
2011-02-01 09:00:00+00:00,GBP,2,BoE QE Total,200,,200
2011-02-01 09:00:00+00:00,GBP,2,Core Retail Sales,1.7,,-1.7
2011-02-01 09:00:00+00:00,GBP,2,Core Retail Sales,2.9,,-1.9
2011-02-01 09:00:00+00:00,GBP,2,CPI,0.1,,1
2011-02-01 09:00:00+00:00,GBP,2,Halifax House Price Index,-2.4,,-1.6
2011-02-01 09:00:00+00:00,GBP,2,Nationwide HPI,-1.4,,0.1
2011-02-01 09:00:00+00:00,GBP,2,Retail Sales,5.3,,1
2011-02-01 09:00:00+00:00,GBP,2,Trade Balance Non-EU,-4.69,,-5.64
2011-02-01 09:00:00+00:00,USD,2,Building Permits,-10.4,,16.7
2011-02-01 09:00:00+00:00,USD,2,Core CPI,1,,0.8
2011-02-01 09:00:00+00:00,USD,2,Core PCE Price Index,1,,0.9
2011-02-01 09:00:00+00:00,USD,2,Existing Home Sales,3.5,,6.2
2011-02-01 09:00:00+00:00,USD,2,Export Price Index,1.3,,0.7
2011-02-01 09:00:00+00:00,USD,2,Housing Starts,16.9,,-1.1
